,0,12,24,36,48,60
item1,10,21000,4500000,5100000,3100000,3700000
item2,10,160,1200,1700,1300,1000
item3,10,64000,5800000,5800000,4500000,4800000
item4,10,240,1300,2700,3600,2100
item5,10,60,900,1500,2600,1000
